title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Mugen Souls,http://fitgirl-repacks.site/mugen-souls/,2016-07-21,3,,,,3686,2048,0.56,
Mugen Souls Z + 12 DLC,http://fitgirl-repacks.site/mugen-souls-z-12-dlc/,2016-08-29,28,RPG  Third-person  3D  Japanese,Compile Heart / Ghostlight,ENG/JAP,4198,2764,0.66,
MX Nitro,http://fitgirl-repacks.site/mx-nitro/,2017-02-15,35,Arcade  Side  3D  Motorcycles,Saber Interactive / Miniclip,RUS/ENG/MULTI6,2867,1536,0.54,
MX vs. ATV Supercross Encore + 31 DLCs,http://fitgirl-repacks.site/mx-vs-atv-supercross-encore-31-dlcs/,2017-05-04,50,Racing  Sports  3D  ATV  Motorcycles,Rainbow Studios  Nordic Games  Nordic Games,ENG/MULTI5,11571,1945,0.17,
MXGP2: The Official Motocross Videogame + 2 DLC,http://fitgirl-repacks.site/mxgp2-the-official-motocross-videogame-2-dlc/,2016-07-25,24,,,ENG/MULTI6Original Size: 13.6 GBRepack Size: from 4.7 GB [Selective Download],13926,4812,0.35,
MXGP3: The Official Motocross Videogame,http://fitgirl-repacks.site/mxgp3-official-motocross-videogame/,2017-05-31,46,Racing  Simulation  Third-person  3D  Motorcycles,,ENG/MULTI7,11161,5632,0.5,
N.E.R.O.: Nothing Ever Remains Obscure,http://fitgirl-repacks.site/n-e-r-o-nothing-ever-remains-obscure/,2016-07-27,2,,,RUS/ENG/MULTI11Original Size: 5.9 GBRepack Size: 4.1 GB,6041,4198,0.69,
NARUTO SHIPPUDEN Ultimate Ninja Storm 4 – v1.07 + 6 DLCs,http://fitgirl-repacks.site/naruto-shippuden-ultimate-ninja-storm-4-v1-07-6-dlcs/,2017-02-13,445,Action  Fighting  Third-person  3D,CyberConnect2 / Bandai Namco Entertainment,RUS/ENG/MULTI11,41984,26214,0.62,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,http://fitgirl-repacks.site/naruto-shippuden-ultimate-ninja-storm-2/,2017-09-04,,Arcade  Fighting  3D,CyberConnect2 / Namco Bandai Games,ENG/MULTI5,6860,2969,0.43,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,http://fitgirl-repacks.site/naruto-shippuden-ultimate-ninja-storm-3-full-burst-hd/,2017-09-06,,Arcade  Fighting  3D,CyberConnect2 / Namco Bandai Games,RUS/ENG/MULTI9,15155,3584,0.24,
NARUTO: Ultimate Ninja STORM,http://fitgirl-repacks.site/naruto-ultimate-ninja-storm/,2017-09-03,,Arcade  Fighting  3D,CyberConnect2 / Namco Bandai Games,ENG/MULTI5,6656,2662,0.4,
NASCAR Heat 2,http://fitgirl-repacks.site/nascar-heat-2/,2017-09-15,,Arcade  Racing  3D  Cars,,,10649,6041,0.57,
NBA 2K16 + Update 1,http://fitgirl-repacks.site/nba-2k16-update-1/,2016-07-20,42,,,ENG/MULTI8Original Size: 39 GBRepack Size: 27.4/30.2 GB [Selective Download],39936,28057,0.7,
NBA 2K17 + Update 1 [FIXED REPACK],http://fitgirl-repacks.site/nba-2k17-update-1-working-online/,2016-09-25,568,Sports  Basketball  3D,Visual Concepts / 2K Sports,ENG/MULTI8,54886,33894,0.62,
NBA 2K18,http://fitgirl-repacks.site/nba-2k18/,2017-09-18,3,Sports  Basketball  3D,Visual Concepts / 2K Games,ENG/MULTI9,57139,35430,0.62,
NBA Playgrounds – v1.4.0 + 2 DLCs,http://fitgirl-repacks.site/nba-playgrounds/,2017-10-09,98,Arcade  Sports  Basketball  3D,Saber Interactive / Mad Dog Games,RUS/ENG/MULTI7,10752,3584,0.33,
Need for Speed: Hot Pursuit – v1.0.5.0s + All DLCs,http://fitgirl-repacks.site/need-speed-hot-pursuit-v1-0-5-0s-dlcs/,2016-12-31,260,Arcade  Racing  3D  Cars,Criterion Games / Electronic Arts,RUS/ENG/MULTI12,7884,3993,0.51,
Need for Speed: Most Wanted – Limited Edition – v.1.5.0.0 + All DLCs,http://fitgirl-repacks.site/need-speed-wanted-limited-edition-v-1-5-0-0-dlcs/,2017-03-10,209,Arcade  Racing  3D,Criterion Games / Electronic Arts,RUS/ENG/MULTI10,7577,2560,0.34,
NEOGEO 25th Anniversary Bundle,http://fitgirl-repacks.site/neogeo-25th-anniversary-bundle/,2016-07-22,3,,,ENGOriginal Size: 3.3 GBRepack Size: 1 GB,3379,1024,0.3,
Nevermind,http://fitgirl-repacks.site/nevermind/,2016-07-20,,,,RUS/ENG/MULTI11Original Size: 5.21 GBRepack Size: 1.49 GB,5335,1525,0.29,
Nicolas Eymerich The Inquisitor Book II : The Village,http://fitgirl-repacks.site/nicolas-eymerich-the-inquisitor-book-ii-the-village/,2016-07-08,,,,ENG/MULTI6Original Size: 2 4 GBRepack Size: 1 5 GB,2457,1536,0.63,
NieR: Automata – Day One Edition + Update 1 + DLC,http://fitgirl-repacks.site/nier-automata-day-one-edition-update-1-dlc/,2017-05-20,1,RPG  Action RPG  Third-person  3D,PlatinumGames / Square Enix,ENG/MULTI6,49152,9420,0.19,
Night in the Woods,http://fitgirl-repacks.site/night-in-the-woods/,2017-02-25,74,Arcade  Platform adventure  Side  2D,,ENG,2150,1126,0.52,
NightCry,http://fitgirl-repacks.site/nightcry/,2016-07-25,6,,,ENG/JAPOriginal Size: 4.1 GBRepack Size: 2.5 GB,4198,2560,0.61,
Nights of Azure + Update 1,http://fitgirl-repacks.site/nights-azure-update-1/,2017-02-16,117,RPG  Third-person  3D  Japanese,Gust / Koei Tecmo Games,ENG,5017,2457,0.49,
Nights of Azure 2: Bride of the New Moon,http://fitgirl-repacks.site/nights-of-azure-2-bride-of-the-new-moon/,2017-10-25,,RPG  Third-person  3D  Japanese,Gust / Tecmo Koei,ENG/MULTI3,14028,7065,0.5,
Nioh: Complete Edition – v1.21,http://fitgirl-repacks.site/nioh-complete-edition/,2017-11-08,1,RPG  Action RPG  Third-person  3D,Team Ninja / Tecmo Koei,RUS/ENG/MULTI13,49971,20787,0.42,
No Man’s Sky – v1.3 Atlas Rises,http://fitgirl-repacks.site/no-mans-sky/,2017-08-12,711,,,RUS/ENG/MULTI14,5632,3891,0.69,
No70: Eye of Basir,http://fitgirl-repacks.site/no70-eye-of-basir/,2017-06-30,30,Adventure  Puzzle solving  First-person  3D,Oldmoustache Gameworks / Artcom FZC,RUS/ENG/MULTI11,9932,5529,0.56,
Nobunaga’s Ambition: Sphere of Influence – Ascension + 9 DLCs,http://fitgirl-repacks.site/nobunagas-ambition-sphere-influence-ascension-9-dlcs/,2016-11-16,67,Strategy  Grand strategy  Isometric  3D  Real-time  Turn-based,Tecmo Koei / Koei Tecmo,ENG/JAP/CHT,8704,3276,0.38,
Not A Hero,http://fitgirl-repacks.site/not-a-hero/,2016-07-16,2,,,,616,365,0.59,
NotGTAV,http://fitgirl-repacks.site/notgtav/,2016-07-18,7,,,,159,107,0.67,
Obduction + Update 1 (Hot Fix),http://fitgirl-repacks.site/obduction/,2016-09-01,28,Adventure  Exploration  Puzzle solving  First-person  3D,,RUS/ENG/MULTI7,11059,4505,0.41,
Oceanhorn: Monster of Uncharted Seas,http://fitgirl-repacks.site/oceanhorn-monster-of-uncharted-seas/,2016-07-14,5,,,RUS/ENG/MULTI11Original Size: 550 MBRepack Size: 240 MB,550,240,0.44,
Oddworld: Abe’s Oddysee – New ‘n’ Tasty,http://fitgirl-repacks.site/oddworld-abes-oddysee-new-n-tasty/,2016-07-10,4,,,RUS/ENG/MULTI10Original Size: 4 4 GBRepack Size: 3 6 GB,4505,3686,0.82,
Oddworld: Munch’s Oddysee HD + Update 14,http://fitgirl-repacks.site/oddworld-munchs-oddysee-hd-update-14/,2016-08-03,6,,,,1669,1249,0.75,
Okami HD + CrackFix,http://fitgirl-repacks.site/okami-hd/,2017-12-13,,Action  Third-person  3D  Japanese,Clover Studio / Capcom,ENG/MULTI4,21811,3993,0.18,
One Late Night: Deadline,http://fitgirl-repacks.site/one-late-night-deadline/,2016-07-07,,,,,567,387,0.68,
One Piece Pirate Warriors 3: GOLD Edition + All DLCs,http://fitgirl-repacks.site/one-piece-pirate-warriors-3-gold-edition-all-dlcs/,2016-07-19,13,,,ENG/MULTI5Original Size: 11.2 GBRepack Size: 8 GB,11468,8192,0.71,
One Piece: Burning Blood – Gold Edition (All DLCs),http://fitgirl-repacks.site/one-piece-burning-blood-gold-edition-dlcs/,2016-09-02,105,Arcade  Fighting  Third-person  3D  Japanese,Spike Chunsoft / Bandai Namco,RUS/ENG/MULTI10,9625,6246,0.65,
One Piece: Unlimited World Red – Deluxe Edition,http://fitgirl-repacks.site/one-piece-unlimited-world-red-deluxe-edition/,2017-08-27,1,Action  Third-person  3D,Ganbarion / Namco Bandai Games,ENG/MULTI7,10854,7987,0.74,
One Sole Purpose,http://fitgirl-repacks.site/one-sole-purpose/,2017-03-10,66,Action  Shooter  First-person  3D,,,15462,6656,0.43,
Onechanbara Z2: Chaos,http://fitgirl-repacks.site/onechanbara-z2-chaos/,2016-07-28,5,,,ENG/JAPOriginal Size: 4.25 GBRepack Size: from 1.45 GB [Selective Download],4352,1484,0.34,
Ori and the Blind Forest,http://fitgirl-repacks.site/ori-and-the-blind-forest/,2016-07-14,,,,RUS/ENG/MULTI9Original Size: 3 3 GBRepack Size: 1 9 GB,3379,1945,0.58,
Ori and the Blind Forest: Definitive Edition,http://fitgirl-repacks.site/ori-and-the-blind-forest-definitive-edition/,2016-07-26,6,,,RUS/ENG/MULTI8Original Size: 5.4 GBRepack Size: from 2.3 GB [Selective Download],5529,2355,0.43,
Outcast: Second Contact,http://fitgirl-repacks.site/outcast-second-contact/,2017-11-15,2,Action  Shooter  Third-person  3D,Appeal / Bigben Interactive,ENG/MULTI7,6963,4812,0.69,
Outlast 2,http://fitgirl-repacks.site/outlast-2/,2017-04-26,251,Adventure  First-person  3D  Horror,,RUS/ENG/MULTI9,23961,13107,0.55,
Overgrowth,http://fitgirl-repacks.site/overgrowth/,2017-10-18,,Action  Third-person  3D,,,8396,3891,0.46,
Overlord: Fellowship of Evil,http://fitgirl-repacks.site/overlord-fellowship-of-evil/,2016-07-21,2,,,ENG/MULTI5Original Size: 2.5 GBRepack Size: 1.3 GB,2560,1331,0.52,
Paper Monsters Recut,http://fitgirl-repacks.site/paper-monsters-recut/,2016-07-07,,,,,210,80,0.38,
Particula,http://fitgirl-repacks.site/particula/,2016-07-10,,,,,415,194,0.47,
PayDay 2: GotY Edition + 40 DLC,http://fitgirl-repacks.site/payday-2-goty-edition-40-dlc/,2016-07-29,54,,,RUS/ENG/MULTI7Original Size: 28.9 GBRepack Size: 11 GB,29593,11264,0.38,
Perception,http://fitgirl-repacks.site/perception/,2017-05-31,21,Adventure  First-person  3D  Horror,The Deep End Games / Feardemic,RUS/ENG/MULTI9,4198,2457,0.59,
Phantaruk,http://fitgirl-repacks.site/phantaruk/,2016-08-16,21,Adventure  Stealth  Survival  First-person  Horror  3D,,RUS/ENG/MULTI4,3072,1587,0.52,
Phoning Home + Update 1,http://fitgirl-repacks.site/phoning-home-update-1/,2017-02-10,232,Adventure  Open world  Third-person  3D,,RUS/ENG/MULTI5,4096,2252,0.55,
Pillars of Eternity: Definitive Edition,http://fitgirl-repacks.site/pillars-of-eternity/,2017-11-18,2,RPG  Party-based  Isometric  3D models on 2D backgrounds,,RUS/ENG/MULTI7,15462,7168,0.46,
Pixel Boy and the Ever Expanding Dungeon,http://fitgirl-repacks.site/pixel-boy-and-the-ever-expanding-dungeon/,2016-07-10,,,,,256,92,0.36,
Planescape: Torment – Enhanced Edition – v3.0.3.0,http://fitgirl-repacks.site/planescape-torment-enhanced-edition-v3-0-3-0/,2017-04-12,61,RPG  Isometric  2D  Party-based  Pausable real-time,Black Isle Studios  Beamdog,ENG/MULTI5,1433,1126,0.79,
Planet Coaster – v1.3.6.45104 + 3 DLCs,http://fitgirl-repacks.site/planet-coaster/,2017-09-03,177,Managerial  Strategy  Isometric  3D,,ENG/MULTI9,7065,4300,0.61,
Planet Explorers,http://fitgirl-repacks.site/planet-explorers/,2017-08-11,84,RPG  Open world  Third-person  3D,,RUS/ENG/Chinese,18329,5734,0.31,
Planetary Annihilation: TITANS,http://fitgirl-repacks.site/planetary-annihilation-titans/,2016-07-19,6,,,RUS/ENG/MULTI24Original Size: 2.09 GBRepack Size: 1.46 GB,2140,1495,0.7,
Pneuma: Breath of Life,http://fitgirl-repacks.site/pneuma-breath-of-life/,2016-07-10,3,,,,12083,1843,0.15,
Poltergeist: A Pixelated Horror (v1.02),http://fitgirl-repacks.site/poltergeist-a-pixelated-horror-v1-02/,2016-07-08,,,,ENG/MULTI6Original Size: 206 MBRepack Size: 108 MB,206,108,0.52,
Porno Studio Tycoon – v1.2017.05.05,http://fitgirl-repacks.site/porno-studio-tycoon/,2017-05-06,91,Adult  Managerial  2D,,RUS/ENG,1740,496,0.29,
Portal Knights – v1.0.1 + 5 DLCs + Multiplayer,http://fitgirl-repacks.site/portal-knights-v1-0-1-5-dlcs-multiplayer/,2017-05-19,41,RPG  Action RPG  Open world  Sandbox  Third-person  3D,Keen Games / 505 Games,RUS/ENG/MULTI17,2764,1075,0.39,
Prey – v1.04 + DLC,http://fitgirl-repacks.site/prey/,2017-07-06,655,Action  Shooter  First-person  3D  Horror,Arkane Studios / Bethesda Softworks,RUS/ENG/MULTI10,26316,11366,0.43,
Pro Cycling Manager 2015,http://fitgirl-repacks.site/pro-cycling-manager-2015/,2016-07-19,,,,ENG/MULTI10Original Size: 6.9 GBRepack Size: 4~4.3 GB [Selective Download],7065,4096,0.58,
Pro Cycling Manager Season 2016,http://fitgirl-repacks.site/pro-cycling-manager-season-2016/,2016-07-28,2,,,ENG/MULTI10Original Size: 6.2 GBRepack Size: from 3.2 GB [Selective Download],6348,3276,0.52,
Pro Cycling Manager Season 2017,http://fitgirl-repacks.site/pro-cycling-manager-season-2017/,2017-06-21,65,Managerial  Racing  3D  Bicycles,Cyanide,ENG/MULTI10,6246,3379,0.54,
Pro Evolution Soccer 2016 v1.05 + Data Pack 4.0,http://fitgirl-repacks.site/pro-evolution-soccer-2016-v1-05-data-pack-4-0/,2016-07-28,35,,,RUS/ENG/MULTI17Original Size: 12 GBRepack Size: 3.3~3.6 GB [Selective Download],12288,3379,0.27,
Pro Evolution Soccer 2017 – v1.01.00,http://fitgirl-repacks.site/pro-evolution-soccer-2017-v1-01-00/,2016-10-31,342,Sports  Soccer  3D,,RUS/ENG/MULTI17,11878,3174,0.27,
Pro Evolution Soccer 2018 – v1.0.1.02 + RCMP2018,http://fitgirl-repacks.site/pro-evolution-soccer-2018/,2017-09-23,3,Sports  Soccer  3D,,RUS/ENG/MULTI17,26316,8396,0.32,
Pro Pinball: Timeshock! – The Ultra Edition,http://fitgirl-repacks.site/pro-pinball-timeshock-ultra-edition/,2016-08-15,25,Arcade  Pinball  Physics-based  Top-down,,,53248,334,0.01,
Professional Farmer 2017,http://fitgirl-repacks.site/professional-farmer-2017/,2016-07-24,,,,ENG/MULTI8Original Size: 1.9 GBRepack Size: 1.1 GB,1945,1126,0.58,
Project CARS 2 – v1.1.2.0 + 2 DLCs + Multiplayer,http://fitgirl-repacks.site/project-cars-2/,2017-09-25,2,Racing  Simulation  First-person  Third-person  3D  Cars,Slightly Mad Studios / Bandai Namco Entertainment,RUS/ENG/MULTI12,41369,18636,0.45,
Project CARS: Game of the Year Edition  v11.2 + All DLCs,http://fitgirl-repacks.site/project-cars/,2017-07-07,85,Racing  Simulation  3D,,RUS/ENG/MULTI8,22528,10137,0.45,
Project Night,http://fitgirl-repacks.site/project-night/,2016-07-08,,,,,482,328,0.68,
Project Nimbus – v.Akagi,http://fitgirl-repacks.site/project-nimbus-v-akagi/,2017-10-02,,Action  Shooter  Third-person  3D  Mecha,GameCrafterTeam / KISS,ENG/MULTI3,7372,1126,0.15,
Prospekt,http://fitgirl-repacks.site/prospekt/,2016-07-23,,,,RUS/ENG/MULTI5Original Size: 6.2 GBRepack Size: 3.7 GB,6348,3788,0.6,
P·O·L·L·E·N,http://fitgirl-repacks.site/p%c2%b7o%c2%b7l%c2%b7l%c2%b7e%c2%b7n/,2016-07-25,,,,RUS/ENG/MULTI8Original Size: 4 GBRepack Size: 2.1 GB,4096,2150,0.52,
Quantum Break – Live Series Offline Add-on,http://fitgirl-repacks.site/quantum-break-live-series-offline-add/,2016-10-21,137,Action  Shooter  Cover-based  Third-person  3D,Remedy Entertainment,RUS/ENG/MULTI10,107110,55193,0.52,
Quantum Break – Patch from v1.6.0.0 to v1.7.0.0,http://fitgirl-repacks.site/quantum-break-patch-from-v1-6-0-0-to-v1-7-0-0/,2016-07-26,27,,,RUS/ENG/MULTI10Original Size: 24.8 GBRepack Size: 337 MB,25395,337,0.01,
Quantum Break: Steam Edition – v1.0.126.0307,http://fitgirl-repacks.site/quantum-break-steam-edition/,2017-05-18,188,Action  Shooter  Cover-based  Third-person  3D,Remedy Entertainment,RUS/ENG/MULTI10,44544,26931,0.6,
Rad Rodgers: World One,http://fitgirl-repacks.site/rad-rodgers-world-one/,2016-12-07,45,Arcade  Jump and run  Side  3D,Interceptor Entertainment / 3D Realms,,4915,1536,0.31,
Radial-G: Racing Revolved,http://fitgirl-repacks.site/radial-g-racing-revolved/,2016-07-25,,,,,1945,1024,0.53,
RAID: World War II,http://fitgirl-repacks.site/raid-world-war-ii/,2017-09-27,,Action  Shooter  World War II  First-person  3D,Lion Game Lion / Starbreeze Studios,RUS/ENG/MULTI6,14540,6963,0.48,
Raiders of the Broken Planet Bundle,http://fitgirl-repacks.site/raiders-of-the-broken-planet-bundle/,2017-10-05,,RPG  Open world  Third-person  3D,,RUS/ENG/MULTI7,10342,6348,0.61,
Raven’s Cry: Digital Deluxe Edition,http://fitgirl-repacks.site/ravens-cry-digital-deluxe-edition/,2016-07-08,4,,,ENG/GEROriginal Size: 16 GBRepack Size: 6 8~10 2 GB SELECTIVE DOWNLOAD,16384,6963,0.42,
Ray Gigant,http://fitgirl-repacks.site/ray-gigant/,2016-08-16,10,RPG  Dungeon crawl  First-person  3D  Party-based  Japanese,Experience / acttil,ENG/JAP,3379,1638,0.48,
Reaching for Petals,http://fitgirl-repacks.site/reaching-for-petals/,2017-09-05,,Exploration  First-person  3D,,,8089,2969,0.37,
Realms of Arkania: Star Trail,http://fitgirl-repacks.site/realms-of-arkania-star-trail/,2017-08-11,13,RPG  Open world  First-person  3D  Party-based  Real-time  Turn-based,Crafty Studios / United Independent Entertainment,ENG/GER,7884,3993,0.51,
Red Comrades Save the Galaxy: Reloaded,http://fitgirl-repacks.site/red-comrades-save-the-galaxy-reloaded/,2016-07-23,,,,RUS/ENGOriginal Size: 4.25 GBRepack Size: 377 MB,4352,377,0.09,
Red Faction: Guerrilla – Steam Edition,http://fitgirl-repacks.site/red-faction-guerrilla-steam-edition/,2017-11-23,1,Action  Shooter  Physics-based  Third-person  3D,Volition  Reactor Zero  THQ,RUS/ENG/MULTI8,19251,3481,0.18,
Redeemer + Update 1,http://fitgirl-repacks.site/redeemer/,2017-08-02,24,Action  Brawler  Top-down  3D,Sobaka Studio / Gambitious Digital Entertainment,RUS/ENG/MULTI4,2764,1843,0.67,
Redout,http://fitgirl-repacks.site/redout/,2016-09-04,34,Arcade  Racing  Vehicular combat  3D,,RUS/ENG/MULTI7,5632,3123,0.55,
Regalia: Of Men and Monarchs – v1.02,http://fitgirl-repacks.site/regalia-men-monarchs-v1-02/,2017-05-19,30,RPG  Isometric  3D models on 2D backgrounds  Party-based,Pixelated Milk / Klabater,ENG/MULTI3,3584,935,0.26,
Renoir,http://fitgirl-repacks.site/renoir/,2016-11-17,13,Arcade  Platform adventure  Puzzle solving  Side  3D,Soulbound Games / Black Wing Foundation / 1C Publishing EU,RUS/ENG/MULTI10,1433,1024,0.71,
Republique Remastered Complete – Episodes 1-5,http://fitgirl-repacks.site/republique-remastered-complete-episodes-1-5/,2016-07-24,1,,,RUS/ENG/MULTI6Original Size: 4.8 GBRepack Size: 3.3 GB,4915,3379,0.69,
Reservoir Dogs: Bloody Days + Update 1,http://fitgirl-repacks.site/reservoir-dogs-bloody-days-update-1/,2017-05-19,27,Arcade  Run and gun  Top-down  3D,,RUS/ENG/MULTI7,1536,918,0.6,
Resident Evil 5: Gold Edition,http://fitgirl-repacks.site/resident-evil-5-gold-edition/,2016-07-14,37,,,RUS/ENG/MULTI9Original Size: 8 3 GBRepack Size: 2 9 GB,8499,2969,0.35,
Resident Evil 7: Biohazard – v1.03 + 5 DLCs,http://fitgirl-repacks.site/resident-evil-7-biohazard/,2017-09-06,1,Action  First-person  3D  Horror,,RUS/ENG/MULTI13,27033,17817,0.66,
Resident Evil HD Remaster,http://fitgirl-repacks.site/resident-evil-hd-remaster/,2016-07-08,19,,,RUS/ENG/MULTI7Original Size: 18 GBRepack Size: 3 9~9 5 GB SELECTIVE DOWNLOAD,18432,3993,0.22,
Resident Evil Zero: HD Remaster + 5/10 DLC,http://fitgirl-repacks.site/resident-evil-zero-hd-remaster-510-dlc/,2016-07-22,16,,,RUS/ENG/MULTI6Original Size: 10.3 GBRepack Size: 4.5~5.5 GB [Selective Download],10547,4608,0.44,
Resident Evil: Revelations 2 – All Episodes + Patch v4.0,http://fitgirl-repacks.site/resident-evil-revelations-2-all-episodes-patch-v4-0/,2016-07-15,44,,,RUS/ENG/MULTI11Original Size: 12 5 GBRepack Size: 6 6~8 GB (Selective Download),12800,6758,0.53,
Ride + 4 DLC + Update 2,http://fitgirl-repacks.site/ride-4-dlc-update-2/,2016-07-20,8,,,RUS/ENG/MULTI10Original Size: 18.3 GBRepack Size: 8.4 GB,18739,8601,0.46,
RIDE 2 + 2 DLC,http://fitgirl-repacks.site/ride-2-2-dlc/,2016-10-11,112,Racing  Simulation  3D  Motorcycles,Milestone / PQube,ENG/MULTI6,27136,15974,0.59,
RiME – v1.01,http://fitgirl-repacks.site/rime-v1-01/,2017-06-02,139,Arcade  Platform adventure  Open world  Third-person  3D,Tequila Works / Grey Box,RUS/ENG/MULTI10,7577,4608,0.61,
Rise of the Tomb Raider: 20 Year Celebration (All DLCs Included),http://fitgirl-repacks.site/rise-tomb-raider-20-year-celebration-dlcs-included/,2017-05-26,213,Action  Third-person  3D,Crystal Dynamics  Eidos-Montreal  Nixxes Software  Square Enix,RUS/ENG/MULTi14,34611,14233,0.41,
Risen 3: Titan Lords – Enhanced Edition,http://fitgirl-repacks.site/risen-3-titan-lords-enhanced-edition/,2016-07-19,4,,,RUS/ENG/MULTI6Original Size: 9.6 GBRepack Size: 3.9/5.4 GB [Selective Download],9830,3993,0.41,
Road Redemption,http://fitgirl-repacks.site/road-redemption/,2017-10-04,,Arcade  Racing  Vehicular combat  Third-person  3D,Darkseas Games  Pixel Dash Studios  EQ Games,RUS/ENG/MULTI8,4403,1945,0.44,
Rock of Ages 2: Bigger & Boulder – v1.02 + 2 DLCs,http://fitgirl-repacks.site/rock-of-ages-2-bigger-and-boulder/,2017-08-30,1,Arcade  Tower defense  Physics-based  Third-person  3D,ACE Team Software / Atlus U.S.A.,RUS/ENG/MULTI7,4505,2764,0.61,
Rocket League – v1.35 (Anniversary Update) + 16 DLC  + Offline Unlocker,http://fitgirl-repacks.site/rocket-league/,2017-07-07,208,Arcade  Sports  Third-person  3D,,RUS/ENG/MULTI11,5939,2867,0.48,
Rocketbirds 2: Evolution,http://fitgirl-repacks.site/rocketbirds-2-evolution/,2017-01-27,60,Arcade  Run and gun  Side  3D,Ratloop Asia / Reverb Triple XP,ENG/MULTI11,4915,2252,0.46,
Rogue Stormers,http://fitgirl-repacks.site/rogue-stormers/,2016-07-25,1,,,RUS/ENG/MULTI7Original Size: 4.2 GBRepack Size: 1.1 GB,4300,1126,0.26,
Rogue Trooper Redux,http://fitgirl-repacks.site/rogue-trooper-redux/,2017-10-20,,Action  Shooter  Third-person  3D,TickTock Games  Rebellion Developments,ENG/MULTI7,13926,6656,0.48,
RollerCoaster Tycoon World – v61951,http://fitgirl-repacks.site/rollercoaster-tycoon-world-v61951/,2016-11-17,30,Managerial  Strategy  3D  Real-time,Nvizzio Creations / Atari,RUS/ENG/MULTI10,4096,2150,0.52,
Rolling Sun,http://fitgirl-repacks.site/rolling-sun/,2016-07-16,,,,,841,470,0.56,
Romance of the Three Kingdoms 13 + 40 DLC,http://fitgirl-repacks.site/romance-of-the-three-kingdoms-13-40-dlc/,2016-07-29,23,,,ENG/MULTI4Original Size: 6.9 GBRepack Size: from 3.2 GB [Selective Download],7065,3276,0.46,
Rooks Keep,http://fitgirl-repacks.site/rooks-keep/,2016-07-07,,,,,2150,880,0.41,
Rugby Challenge 3,http://fitgirl-repacks.site/rugby-challenge-3/,2016-07-29,7,,,ENG/MULTI4Original Size: 5.4 GBRepack Size: from 2.2 GB [Selective Download],5529,2252,0.41,
RUINER,http://fitgirl-repacks.site/ruiner/,2017-09-27,,Arcade  Top-down  3D  Cyberpunk,Reikon Games / Devolver Digital,RUS/ENG/MULTI11,9728,6348,0.65,
Running with Rifles,http://fitgirl-repacks.site/running-with-rifles/,2016-07-14,,,,,451,198,0.44,
Ryse: Son of Rome – Legendary Edition,http://fitgirl-repacks.site/ryse-son-of-rome-legendary-edition/,2016-07-24,84,,,RUS/ENG/MULTI6Original Size: 25.9 GBRepack Size: 16.6/16.7 GB [Selective Download],26521,16998,0.64,
Saint Seiya: Soldiers’ Soul,http://fitgirl-repacks.site/saint-seiya-soldiers-soul/,2016-07-21,,,,ENG/MULTI7Original Size: 3.83 GBRepack Size: 1.47~2.55 GB,3921,1505,0.38,
Saints Row: Gat Out of Hell (Update 1 included),http://fitgirl-repacks.site/saints-row-gat-out-of-hell-update-1-included/,2016-07-08,17,,,RUS/ENG/MULTI7Original Size: 5 GBRepack Size: 4 2 GB,5120,4300,0.84,
Samurai Warriors 4-II,http://fitgirl-repacks.site/samurai-warriors-4-ii/,2016-07-20,11,,,,8704,5120,0.59,
Samurai Warriors: Spirit of Sanada + DLC,http://fitgirl-repacks.site/samurai-warriors-spirit-sanada-dlc/,2017-05-25,84,Action  Slasher  Third-person  3D,Omega Force / Tecmo Koei,ENG,22528,8192,0.36,
Satellite Reign v1.02,http://fitgirl-repacks.site/satellite-reign-v1-02/,2016-07-19,,,,,779,421,0.54,
Seasons after Fall,http://fitgirl-repacks.site/seasons-after-fall/,2016-09-02,30,Arcade  Jump and run  Puzzle solving  Side  2D,Swing Swing Submarine / Focus Home Interactive,ENG/MULTI5,1433,1095,0.76,
Sebastien Loeb Rally Evo + 2 DLC,http://fitgirl-repacks.site/sebastien-loeb-rally-evo-2-dlc/,2016-07-23,2,,,ENG/MULTI10Original Size: 26.8 GBRepack Size: from 13.4 GB [Selective Download],27443,13721,0.5,
Senran Kagura Estival Versus + 13 DLCs,http://fitgirl-repacks.site/senran-kagura-estival-versus-13-dlcs/,2017-03-27,152,Action  Slasher  Beat ’em up (Brawler)  Third-person  3D  Japanese,Tamsoft / Marvelous,ENG/MULTI4,10137,5324,0.53,
Senran Kagura Shinovi Versus,http://fitgirl-repacks.site/senran-kagura-shinovi-versus/,2016-07-27,10,,,ENG/JAPOriginal Size: 3 GBRepack Size: 1.9 GB,3072,1945,0.63,
Sentinel,http://fitgirl-repacks.site/sentinel/,2016-07-10,,,,,760,457,0.6,
Serious Sam 3: BFE v233089 + Jewel of the Nile DLC,http://fitgirl-repacks.site/serious-sam-3-bfe-v233089-jewel-of-the-nile-dlc/,2016-07-18,12,,,RUS/ENG/MULTI9Original Size: 5.14 GBRepack Size: 3.33 GB,5263,3409,0.65,
