title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Cargo 3,http://fitgirl-repacks.site/cargo-3/,2016-07-07,2,,,ENG/MULTI6Original Size: 4 6 GBRepack Size: 3 4 GB,4710,3481,0.74,
Caribbean!,http://fitgirl-repacks.site/caribbean/,2016-07-10,2,,,RUS/ENGOriginal Size: 1 2 GBRepack Size: 414 MB,1228,414,0.34,
Carmageddon: Max Damage – The U.S. Election Nightmare Special Edition,http://fitgirl-repacks.site/carmageddon-max-damage-u-s-election-nightmare-special-edition/,2016-11-01,36,Arcade  Racing  Physics-based  3D,,RUS/ENG/MULTI6,10240,5632,0.55,
Carmageddon: Reincarnation – Pubic Beta v0.9.0.6670,http://fitgirl-repacks.site/carmageddon-reincarnation-pubic-beta-v0-9-0-6670/,2016-07-09,,,,RUS/ENG/MULTI6Original Size: 13 GBRepack Size: 6 3 GB,13312,6451,0.48,
Carmageddon: Reincarnation v1.2.0.7673,http://fitgirl-repacks.site/carmageddon-reincarnation-v1-2-0-7673/,2016-07-22,3,,,RUS/ENG/MULTI6Original Size: 18.7 GBRepack Size: 5.7 GB,19148,5836,0.3,
Champions of Anteria – v1.7.499537.X + All DLCs,http://fitgirl-repacks.site/champions-anteria-v1-7-499537-x-dlcs/,2016-12-29,150,Strategy  Tactics  Isometric  3D  Pausable Real-time,Blue Byte / Ubisoft Entertainment,RUS/ENG/MULTI7,9113,6963,0.76,
Chasing Dead,http://fitgirl-repacks.site/chasing-dead/,2016-07-24,1,,,RUS/ENG/MULTI6Original Size: 6.7 GBRepack Size: 2.3 GB,6860,2355,0.34,
Chess Ultra – v1.6,http://fitgirl-repacks.site/chess-ultra/,2017-06-30,32,Board game  Chess  3D  Turn-based,,RUS/ENG/MULTI8,6246,2867,0.46,
Children of Zodiarcs,http://fitgirl-repacks.site/children-of-zodiarcs/,2017-07-20,27,RPG  Isometric  3D  Turn-based,Cardboard Utopia / Square Enix,ENG/MULTI5,1126,859,0.76,
Chinese Paladin: Sword and Fairy 6,http://fitgirl-repacks.site/chinese-paladin-sword-and-fairy-6/,2017-11-21,1,RPG  Third-person  3D  Real-time  Turn-based,,,12083,5939,0.49,
